no,id.orig_p,id.resp_p,proto,service,flow_duration,fwd_pkts_tot,bwd_pkts_tot,fwd_data_pkts_tot,bwd_data_pkts_tot,fwd_pkts_per_sec,bwd_pkts_per_sec,flow_pkts_per_sec,down_up_ratio,fwd_header_size_tot,fwd_header_size_min,fwd_header_size_max,bwd_header_size_tot,bwd_header_size_min,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,bwd_PSH_flag_count,flow_ACK_flag_count,fwd_URG_flag_count,bwd_URG_flag_count,flow_CWR_flag_count,flow_ECE_flag_count,fwd_pkts_payload.min,fwd_pkts_payload.max,fwd_pkts_payload.tot,fwd_pkts_payload.avg,fwd_pkts_payload.std,bwd_pkts_payload.min,bwd_pkts_payload.max,bwd_pkts_payload.tot,bwd_pkts_payload.avg,bwd_pkts_payload.std,flow_pkts_payload.min,flow_pkts_payload.max,flow_pkts_payload.tot,flow_pkts_payload.avg,flow_pkts_payload.std,fwd_iat.min,fwd_iat.max,fwd_iat.tot,fwd_iat.avg,fwd_iat.std,bwd_iat.min,bwd_iat.max,bwd_iat.tot,bwd_iat.avg,bwd_iat.std,flow_iat.min,flow_iat.max,flow_iat.tot,flow_iat.avg,flow_iat.std,payload_bytes_per_second,fwd_subflow_pkts,bwd_subflow_pkts,fwd_subflow_bytes,bwd_subflow_bytes,fwd_bulk_bytes,bwd_bulk_bytes,fwd_bulk_packets,bwd_bulk_packets,fwd_bulk_rate,bwd_bulk_rate,active.min,active.max,active.tot,active.avg,active.std,idle.min,idle.max,idle.tot,idle.avg,idle.std,fwd_init_window_size,bwd_init_window_size,fwd_last_window_size,bwd_last_window_size,Attack_type
1,37810,443,tcp,https,0.026016,1,1,1,0,38.437889,38.437889,76.875778,1,32,32,32,20,20,20,0,0,1,1,0,1,0,0,0,0,105,105,105,105,0,0,0,0,0,0,0,105,105,52.5,74.246212,0,0,0,0,0,0,0,0,0,0,26015.996933,26015.996933,26015.996933,26015.996933,0,4035.978336,1,1,105,0,0,0,0,0,0,0,26015.996933,26015.996933,26015.996933,26015.996933,0,0,0,0,0,0,1595,0,1595,0,TV
2,53028,443,tcp,https,0.027461,1,1,1,0,36.415211,36.415211,72.830422,1,32,32,32,20,20,20,0,0,1,1,0,1,0,0,0,0,318,318,318,318,0,0,0,0,0,0,0,318,318,159,224.859956,0,0,0,0,0,0,0,0,0,0,27461.051941,27461.051941,27461.051941,27461.051941,0,11580.03709,1,1,318,0,0,0,0,0,0,0,27461.051941,27461.051941,27461.051941,27461.051941,0,0,0,0,0,0,5668,0,5668,0,TV
3,53044,443,tcp,https,0.026749,1,1,1,0,37.384388,37.384388,74.768776,1,32,32,32,20,20,20,0,0,1,1,0,1,0,0,0,0,318,318,318,318,0,0,0,0,0,0,0,318,318,159,224.859956,0,0,0,0,0,0,0,0,0,0,26749.134064,26749.134064,26749.134064,26749.134064,0,11888.235307,1,1,318,0,0,0,0,0,0,0,26749.134064,26749.134064,26749.134064,26749.134064,0,0,0,0,0,0,2534,0,2534,0,TV
4,53046,443,tcp,https,0.027411,1,1,1,0,36.481726,36.481726,72.963451,1,32,32,32,20,20,20,0,0,1,1,0,1,0,0,0,0,318,318,318,318,0,0,0,0,0,0,0,318,318,159,224.859956,0,0,0,0,0,0,0,0,0,0,27410.984039,27410.984039,27410.984039,27410.984039,0,11601.188762,1,1,318,0,0,0,0,0,0,0,27410.984039,27410.984039,27410.984039,27410.984039,0,0,0,0,0,0,1584,0,1584,0,TV
5,53048,443,tcp,https,0.026777,1,1,1,0,37.345443,37.345443,74.690885,1,32,32,32,20,20,20,0,0,1,1,0,1,0,0,0,0,350,350,350,350,0,0,0,0,0,0,0,350,350,175,247.487373,0,0,0,0,0,0,0,0,0,0,26777.029037,26777.029037,26777.029037,26777.029037,0,13070.904898,1,1,350,0,0,0,0,0,0,0,26777.029037,26777.029037,26777.029037,26777.029037,0,0,0,0,0,0,6980,0,6980,0,TV
6,53070,443,tcp,https,0.027454,1,1,1,0,36.424382,36.424382,72.848764,1,32,32,32,20,20,20,0,0,1,1,0,1,0,0,0,0,326,326,326,326,0,0,0,0,0,0,0,326,326,163,230.516811,0,0,0,0,0,0,0,0,0,0,27454.137802,27454.137802,27454.137802,27454.137802,0,11874.348499,1,1,326,0,0,0,0,0,0,0,27454.137802,27454.137802,27454.137802,27454.137802,0,0,0,0,0,0,3348,0,3348,0,TV
7,53068,443,tcp,https,0.026713,1,1,1,0,37.435105,37.435105,74.870209,1,32,32,32,20,20,20,0,0,1,1,0,1,0,0,0,0,350,350,350,350,0,0,0,0,0,0,0,350,350,175,247.487373,0,0,0,0,0,0,0,0,0,0,26712.89444,26712.89444,26712.89444,26712.89444,0,13102.286643,1,1,350,0,0,0,0,0,0,0,26712.89444,26712.89444,26712.89444,26712.89444,0,0,0,0,0,0,2986,0,2986,0,TV
8,53072,443,tcp,https,0.027409,1,1,1,0,36.484264,36.484264,72.968529,1,32,32,32,20,20,20,0,0,1,1,0,1,0,0,0,0,326,326,326,326,0,0,0,0,0,0,0,326,326,163,230.516811,0,0,0,0,0,0,0,0,0,0,27409.076691,27409.076691,27409.076691,27409.076691,0,11893.870183,1,1,326,0,0,0,0,0,0,0,27409.076691,27409.076691,27409.076691,27409.076691,0,0,0,0,0,0,2817,0,2817,0,TV
9,53078,443,tcp,https,0.026003,1,1,1,0,38.457273,38.457273,76.914546,1,32,32,32,20,20,20,0,0,1,1,0,1,0,0,0,0,350,350,350,350,0,0,0,0,0,0,0,350,350,175,247.487373,0,0,0,0,0,0,0,0,0,0,26002.883911,26002.883911,26002.883911,26002.883911,0,13460.045478,1,1,350,0,0,0,0,0,0,0,26002.883911,26002.883911,26002.883911,26002.883911,0,0,0,0,0,0,2036,0,2036,0,TV
10,50956,443,tcp,https,8.383902,10,7,4,2,1.192762,0.834933,2.027695,0.7,328,32,40,232,32,40,2,2,0,4,2,16,0,0,0,0,0,1316,1915,191.5,426.352032,0,460,622,88.857143,174.439511,0,1316,2537,149.235294,341.132403,21.934509,8161861.896515,8404926.06163,933880.673514,2710649.516386,9822.845459,8231792.926788,8378423.929214,1396403.988202,3348716.671348,21.934509,8161861.896515,8404926.06163,525307.878852,2036491.327688,302.603725,5,3.5,957.5,311,0,0,0,0,0,0,27467.96608,215596.199036,243064.165115,121532.082558,133026.749256,8161861.896515,8161861.896515,8161861.896515,8161861.896515,0,65535,65535,1386,326,TV
11,50962,443,tcp,https,2.472352,14,7,4,4,5.662624,2.831312,8.493936,0.5,468,32,44,232,32,40,2,2,0,4,4,20,0,0,0,0,0,1366,2040,145.714286,377.524819,0,5034,6595,942.142857,1836.367105,0,5034,8635,411.190476,1119.069909,16.927719,2270541.906357,2494369.983673,191874.614129,625009.76151,6391.048431,2339292.049408,2466886.043549,411147.673925,944700.295434,16.927719,2270541.906357,2494369.983673,124718.499184,505276.926639,3492.625606,7,3.5,1020,3297.5,0,0,0,0,0,0,2494369.983673,2494369.983673,2494369.983673,2494369.983673,0,0,0,0,0,0,65535,65535,1633,326,TV
12,57000,443,tcp,https,0.029137,1,1,1,0,34.320746,34.320746,68.641491,1,32,32,32,20,20,20,0,0,1,1,0,2,0,0,0,0,274,274,274,274,0,0,0,0,0,0,0,274,274,137,193.747258,0,0,0,0,0,0,0,0,0,0,29136.896133,29136.896133,29136.896133,29136.896133,0,9403.884297,1,1,274,0,0,0,0,0,0,0,29136.896133,29136.896133,29136.896133,29136.896133,0,0,0,0,0,0,1776,1776,1776,1776,TV
13,50984,443,tcp,https,1.313185,14,7,4,4,10.661103,5.330551,15.991654,0.5,468,32,44,232,32,40,2,2,0,4,4,20,0,0,0,0,0,1237,1911,136.5,345.681434,0,5034,6595,942.142857,1836.367105,0,5034,8506,405.047619,1113.908815,20.027161,1110391.139984,1334990.978241,102691.613711,303754.441773,7847.070694,1181780.099869,1307603.120804,217933.853467,472376.012669,20.027161,1110391.139984,1334990.978241,66749.548912,246096.321708,6477.381444,7,3.5,955.5,3297.5,0,0,0,0,0,0,1334990.978241,1334990.978241,1334990.978241,1334990.978241,0,0,0,0,0,0,65535,65535,1633,326,TV
14,50970,443,tcp,https,7.259227,10,7,4,2,1.377557,0.96429,2.341847,0.7,328,32,40,232,32,40,2,2,0,4,2,16,0,0,0,0,0,1329,1928,192.8,430.164516,0,460,622,88.857143,174.439511,0,1329,2550,150,343.914597,15.974045,7037754.058838,7281350.851059,809038.983451,2335943.362801,9892.940521,7106923.103333,7253090.143204,1208848.357201,2889534.186789,15.974045,7037754.058838,7281350.851059,455084.428191,1755461.606645,351.277069,5,3.5,964,311,0,0,0,0,0,0,29333.82988,214262.962341,243596.792221,121798.396111,130764.643603,7037754.058838,7037754.058838,7037754.058838,7037754.058838,0,65535,65535,1386,326,TV
15,56366,443,tcp,https,0.003422,2,1,1,0,584.449801,292.224901,876.674702,0.5,64,32,32,20,20,20,1,0,1,1,0,2,0,0,0,0,0,24,24,12,16.970563,0,0,0,0,0,0,24,24,8,13.856406,1706.838608,1706.838608,1706.838608,1706.838608,0,0,0,0,0,0,1706.838608,1715.183258,3422.021866,1711.010933,5.900559,7013.397617,2,1,24,0,0,0,0,0,0,0,3422.021866,3422.021866,3422.021866,3422.021866,0,0,0,0,0,0,1592,0,1592,0,TV
16,50994,443,tcp,https,0.730561,14,7,4,4,19.163355,9.581677,28.745032,0.5,468,32,44,232,32,40,2,2,0,4,4,20,0,0,0,0,0,1239,1913,136.642857,346.17128,0,5034,6595,942.142857,1836.367105,0,5034,8508,405.142857,1113.983585,16.927719,514153.003693,752709.86557,57900.75889,139241.900049,6519.079208,586804.151535,723984.003067,120664.000511,228946.966071,16.927719,514153.003693,752709.86557,37635.493279,113119.098034,11645.844482,14,7,1913,6595,0,0,0,0,0,0,752709.86557,752709.86557,752709.86557,752709.86557,0,0,0,0,0,0,65535,65535,1633,326,TV
17,51004,443,tcp,https,1.859393,17,9,6,5,9.142769,4.84029,13.983059,0.529412,576,32,44,296,32,40,2,2,0,4,5,25,0,0,0,0,0,1368,3569,209.941176,454.352213,0,5034,7055,783.888889,1625.121568,0,5034,10624,408.615385,1027.027208,16.927719,1653176.784515,1880706.071854,117544.129491,409899.954503,5748.033524,1707176.923752,1853091.955185,231636.494398,596297.883204,16.927719,1653176.784515,1880706.071854,75228.242874,328926.516605,5713.692951,8.5,4.5,1784.5,3527.5,0,0,0,0,0,0,1880706.071854,1880706.071854,1880706.071854,1880706.071854,0,0,0,0,0,0,65535,65535,1633,402,TV
18,49306,443,udp,https,3.534512,6,0,0,0,1.697547,0,1.697547,0,192,32,32,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217674.970627,1760071.0392,3534512.042999,706902.4086,650853.740968,0,0,0,0,0,217674.970627,1760071.0392,3534512.042999,706902.4086,650853.740968,0,3,0,0,0,0,0,0,0,0,0,3534512.042999,3534512.042999,3534512.042999,3534512.042999,0,0,0,0,0,0,1681,0,1681,0,TV
19,49536,443,tcp,https,3.586441,6,0,0,0,1.672968,0,1.672968,0,192,32,32,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222124.099731,1791471.004486,3586441.040039,717288.208008,660456.102007,0,0,0,0,0,222124.099731,1791471.004486,3586441.040039,717288.208008,660456.102007,0,3,0,0,0,0,0,0,0,0,0,3586441.040039,3586441.040039,3586441.040039,3586441.040039,0,0,0,0,0,0,1703,0,1703,0,TV
23895,26738,21,tcp,-,0.000004,1,1,1,0,262144,262144,524288,1,20,20,20,20,20,20,0,1,1,0,0,1,0,0,0,0,120,120,120,120,0,0,0,0,0,0,0,120,120,60,84.852814,0,0,0,0,0,0,0,0,0,0,3.814697,3.814697,3.814697,3.814697,0,31457280,1,1,120,0,0,0,0,0,0,0,3.814697,3.814697,3.814697,3.814697,0,0,0,0,0,0,64,0,64,,DOS_SYN_Hping
23896,26739,21,tcp,-,0.000004,1,1,1,0,246723.764706,246723.764706,493447.529412,1,20,20,20,20,20,20,0,1,1,0,0,1,0,0,0,0,120,120,120,120,0,0,0,0,0,0,0,120,120,60,84.852814,0,0,0,0,0,0,0,0,0,0,4.053116,4.053116,4.053116,4.053116,0,29606851.764706,1,1,120,0,0,0,0,0,0,0,4.053116,4.053116,4.053116,4.053116,0,0,0,0,0,0,64,0,64,,DOS_SYN_Hping
23897,26740,21,tcp,-,0.000004,1,1,1,0,246723.764706,246723.764706,493447.529412,1,20,20,20,20,20,20,0,1,1,0,0,1,0,0,0,0,120,120,120,120,0,0,0,0,0,0,0,120,120,60,84.852814,0,0,0,0,0,0,0,0,0,0,4.053116,4.053116,4.053116,4.053116,0,29606851.764706,1,1,120,0,0,0,0,0,0,0,4.053116,4.053116,4.053116,4.053116,0,0,0,0,0,0,64,0,64,,DOS_SYN_Hping
23898,26741,21,tcp,-,0.000004,1,1,1,0,246723.764706,246723.764706,493447.529412,1,20,20,20,20,20,20,0,1,1,0,0,1,0,0,0,0,120,120,120,120,0,0,0,0,0,0,0,120,120,60,84.852814,0,0,0,0,0,0,0,0,0,0,4.053116,4.053116,4.053116,4.053116,0,29606851.764706,1,1,120,0,0,0,0,0,0,0,4.053116,4.053116,4.053116,4.053116,0,0,0,0,0,0,64,0,64,,DOS_SYN_Hping
